Site,SampleType,Plot,SampleInterval,GFF_ID,Vol_mL,Vial_ID,RunSet,Abs_750_NoAcid,Abs_665_NoAcid,Abs_corr_NoAcid,Conc_ChlA_NoAcid,Abs_750_Acid,Abs_665_Acid,Abs_corr_Acid,Conc_CHLA_Acid,EstimatedChlA_ug_L,Notes
Cabretta,Control,1,T0,133,200,16,1,0.003,0.064,0.061,0.06,0.002,0.046,0.044,0.042,6.896551724,
Cabretta,Control,1,T0,132,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,2,T0,119,200,20,1,0.004,0.057,0.053,0.053,0.001,0.039,0.038,0.036,6.091954023,
Cabretta,Control,2,T0,118,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,3,T0,161,200,15,2,0.003,0.069,0.065,0.065,0.003,0.047,0.044,0.044,7.471264368,
Cabretta,Control,3,T0,160,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,4,T0,94,200,6,1,0.009,0.07,0.061,0.06,0.013,0.056,0.043,0.041,6.896551724,touched aluminum
Cabretta,Control,4,T0,96,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,5,T0,127,200,21,1,0.003,0.053,0.05,0.049,0.004,0.04,0.037,0.034,5.632183908,
Cabretta,Control,5,T0,126,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,1,T0,72,300,18,2,0.005,0.054,0.049,0.048,0.002,0.036,0.034,0.034,3.67816092,
Dean Creek,Control,1,T0,73,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,2,T0,21,300,13,1,0.008,0.065,0.057,0.057,0.012,0.049,0.037,0.037,4.367816092,
Dean Creek,Control,3,T0,19,300,11,1,0.008,0.072,0.063,0.063,0.009,0.051,0.042,0.042,4.827586207,
Dean Creek,Control,3,T0,20,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,4,T0,66,300,15,2,0.006,0.069,0.063,0.062,0.006,0.054,0.049,0.049,4.750957854,
Dean Creek,Control,4,T0,67,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,5,T0,24,300,15,1,0.002,0.058,0.055,0.056,0.004,0.041,0.037,0.037,4.291187739,
Dean Creek,Control,5,T0,25,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,1,T0,209,250,13,1,-0.009,0.035,0.044,0.044,0.004,0.035,0.03,0.03,4.045977011,
RBH Park,Control,1,T0,205,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,2,T0,244,340,4,2,-0.001,0.059,0.06,0.06,-0.004,0.044,0.047,0.047,4.056795132,
RBH Park,Control,2,T0,246,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,3,T0,174,250,9,1,0.005,0.052,0.047,0.047,0.017,0.049,0.032,0.033,4.32183908,
RBH Park,Control,3,T0,202,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,4,T0,230,220,10,2,0.007,0.045,0.037,0.037,-0.005,0.021,0.026,0.026,3.866248694,
RBH Park,Control,4,T0,251,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
RBH Park,Control,5,T0,219,300,22,1,-0.01,0.07,0.081,0.08,0.014,0.077,0.063,0.063,6.130268199,
RBH Park,Control,5,T0,243,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,1,T1,149,150,18,2,0.003,0.029,0.026,0.026,0.004,0.021,0.017,0.017,3.98467433,
Cabretta,Control,1,T1,150,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,2,T1,111,200,9,2,0.008,0.071,0.063,0.063,-0.004,0.042,0.046,0.044,7.24137931,
Cabretta,Control,2,T1,109,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,3,T1,164,200,19,2,0.001,0.066,0.065,0.065,0.005,0.048,0.043,0.043,7.471264368,
Cabretta,Control,3,T1,166,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,4,T1,137,150,8,2,0.01,0.049,0.039,0.039,-0.007,0.025,0.032,0.03,5.977011494,
Cabretta,Control,4,T1,143,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Cabretta,Control,5,T1,83,200,3,1,0.005,0.064,0.06,0.059,0.007,0.05,0.043,0.041,6.781609195,
Cabretta,Control,5,T1,84,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,1,T1,34,200,20,1,0.005,0.045,0.04,0.04,0.01,0.036,0.027,0.027,4.597701149,
Dean Creek,Control,1,T1,35,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,2,T1,43,250,3,2,0.006,0.051,0.045,0.045,0.008,0.042,0.034,0.034,4.137931034,
Dean Creek,Control,2,T1,44,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dup
Dean Creek,Control,3,T1,45,200,4,2,0.001,0.032,0.031,0.031,0.006,0.029,0.023,0.023,3.563218391,
