Site,Sample,Replicate,FunctionalGroup_zoo,FunctionalCountSum_mL
CA,Control,1,Centric diatom,528
CA,Control,2,Centric diatom,212
CA,Control,3,Centric diatom,512
CA,Control,5,Centric diatom,208
CA,Control,1,Dinoflagellate,512
CA,Control,2,Dinoflagellate,164
CA,Control,3,Dinoflagellate,188
CA,Control,5,Dinoflagellate,80
CA,Control,1,Heterotrophic zooplankton,4
CA,Control,2,Heterotrophic zooplankton,16
CA,Control,3,Heterotrophic zooplankton,12
CA,Control,5,Heterotrophic zooplankton,12
CA,Control,1,Pennate diatom,1064
CA,Control,2,Pennate diatom,528
CA,Control,3,Pennate diatom,656
CA,Control,5,Pennate diatom,448
CA,Control,1,Ruptured cell,912
CA,Control,2,Ruptured cell,20
CA,Control,3,Ruptured cell,56
CA,Control,5,Ruptured cell,8
CA,Grab,1,Centric diatom,460
CA,Grab,3,Centric diatom,388
CA,Grab,4,Centric diatom,236
CA,Grab,5,Centric diatom,536
CA,Grab,1,Dinoflagellate,188
CA,Grab,3,Dinoflagellate,196
CA,Grab,4,Dinoflagellate,160
CA,Grab,5,Dinoflagellate,120
CA,Grab,1,Heterotrophic zooplankton,12
CA,Grab,3,Heterotrophic zooplankton,12
CA,Grab,4,Heterotrophic zooplankton,28
CA,Grab,5,Heterotrophic zooplankton,8
CA,Grab,1,Pennate diatom,776
CA,Grab,3,Pennate diatom,684
CA,Grab,4,Pennate diatom,524
CA,Grab,5,Pennate diatom,600
CA,Grab,1,Ruptured cell,4
CA,Grab,3,Ruptured cell,32
CA,Grab,4,Ruptured cell,72
CA,Grab,5,Ruptured cell,4
CA,Mussel,1,Centric diatom,48
CA,Mussel,2,Centric diatom,60
CA,Mussel,3,Centric diatom,26
CA,Mussel,4,Centric diatom,64
CA,Mussel,1,Dinoflagellate,70
CA,Mussel,2,Dinoflagellate,30
CA,Mussel,3,Dinoflagellate,28
CA,Mussel,4,Dinoflagellate,70
CA,Mussel,1,Heterotrophic zooplankton,2
CA,Mussel,2,Heterotrophic zooplankton,4
CA,Mussel,3,Heterotrophic zooplankton,0
CA,Mussel,4,Heterotrophic zooplankton,2
CA,Mussel,1,Pennate diatom,90
CA,Mussel,2,Pennate diatom,52
CA,Mussel,3,Pennate diatom,38
CA,Mussel,4,Pennate diatom,144
CA,Mussel,1,Ruptured cell,246
CA,Mussel,2,Ruptured cell,46
CA,Mussel,3,Ruptured cell,20
CA,Mussel,4,Ruptured cell,20
DC,Control,2,Centric diatom,208
DC,Control,3,Centric diatom,220
DC,Control,4,Centric diatom,68
DC,Control,5,Centric diatom,240
