Site,Date,SampleInterval,Plot,Time,Temp,DO,Salinity
Cabretta,7/14/2022,T0,C1,10:32,29,4.64,32.99
Cabretta,7/14/2022,T1,C1,11:22,28.9,4.42,33
Cabretta,7/14/2022,T2,C1,12:23,28.6,4.26,33.02
Cabretta,7/14/2022,T0,C2,10:38,29.2,4.95,33.05
Cabretta,7/14/2022,T1,C2,11:27,29,3.43,33.37
Cabretta,7/14/2022,T2,C2,NA,NA,NA,NA
Cabretta,7/14/2022,T0,C3,10:44,29.3,4.96,32.95
Cabretta,7/14/2022,T1,C3,11:30,29.1,4.66,33.02
Cabretta,7/14/2022,T2,C3,12:37,28.4,4.68,32.89
Cabretta,7/14/2022,T2,C4,12:42,28.16,4.63,32.98
Cabretta,7/14/2022,T0,C4,10:51,29.3,4.76,32.97
Cabretta,7/14/2022,T1,C4,11:34,29.1,4.72,32.97
Cabretta,7/14/2022,T0,C5,10:57,29.4,5.21,32.88
Cabretta,7/14/2022,T1,C5,11:38,29.2,5.01,32.92
Cabretta,7/14/2022,T2,C5,12:45,28.7,4.8,32.89
Cabretta,7/14/2022,T0,Grab1,10:36,29.6,5.18,32.91
Cabretta,7/14/2022,T1,Grab1,11:24,29.4,4.61,32.95
Cabretta,7/14/2022,T0,Grab2,10:39,29.5,5.14,32.92
Cabretta,7/14/2022,T1,Grab2,11:28,29.3,4.51,32.98
Cabretta,7/14/2022,T0,Grab3,10:49,29.5,5.04,32.92
Cabretta,7/14/2022,T1,Grab3,11:33,29.3,4.43,32.95
Cabretta,7/14/2022,T0,Grab4,10:54,29.5,5.02,32.92
Cabretta,7/14/2022,T1,Grab4,11:37,29.3,4.29,32.99
Cabretta,7/14/2022,T0,Grab5,10:58,29.5,4.94,32.94
Cabretta,7/14/2022,T1,Grab5,11:41,29.2,4.32,32.96
Cabretta,7/14/2022,T2,Grab 1,NA,NA,NA,NA
Cabretta,7/14/2022,T2,Grab 2,NA,NA,NA,NA
Cabretta,7/14/2022,T2,Grab 3,NA,NA,NA,NA
Cabretta,7/14/2022,T2,Grab 4,NA,NA,NA,NA
Cabretta,7/14/2022,T2,Grab 5,NA,NA,NA,NA
Cabretta,7/14/2022,T0,M1,10:28,29.2,3.95,33.06
Cabretta,7/14/2022,T1,M1,11:20,29.1,3.47,33.07
Cabretta,7/14/2022,T2,M1,12:19,28.7,3.21,33.06
Cabretta,7/14/2022,T0,M2,10:34,29.1,3.84,33.04
Cabretta,7/14/2022,T1,M2,11:25,29,3.43,33.05
Cabretta,7/14/2022,T2,M2,12:25,NA,NA,NA
